"","x"
"1",1355650
"2",950637
"3",1310317
"4",19003999
"5",1356009
"6",902726
"7",43525787
"8",902729
"9",19034726
"10",1314273
"11",43533115
"12",1366689
"13",1367268
"14",1311078
"15",1311799
"16",19128219
"17",1305058
"18",19003472
"19",19087946
"20",19136207
"21",19051599
"22",40244464
"23",1312706
"24",19061406
"25",45775965
"26",19068830
"27",19010482
"28",19080458
"29",1308290
"30",1338512
"31",1436650
"32",1437379
"33",19012585
"34",902728
"35",42874135
"36",1395557
"37",19015523
"38",19086176
"39",1378382
"40",902725
"41",19051649
"42",1343346
"43",1344354
"44",1500211
"45",40175460
"46",902730
"47",1391846
"48",1351779
"49",44818461
"50",40171288
"51",955632
"52",1314924
"53",44507848
"54",1344905
"55",1397599
"56",19008264
"57",1304107
"58",1379969
"59",1380068
"60",1593151
"61",958134
"62",792844
"63",1436678
"64",1315942
"65",1318011
"66",902731
"67",35603068
"68",19054997
"69",1337651
"70",1350504
"71",1350066
"72",1389036
"73",1303425
"74",1333357
"75",902727
"76",902724
"77",37498261
"78",1114375
"79",1510939
"80",45775396
"81",1311443
"82",19078187
"83",1593155
"84",1397141
"85",1366773
"86",1377141
"87",19009165
"88",1309188
"89",1304919
"90",1326481
"91",905223
"92",1329241
"93",19012543
"94",46221433
"95",1301267
"96",1315411
"97",1559914
"98",1559930
"99",1594034
"100",1101554
"101",37497670
"102",19100985
"103",43532299
"104",43532497
"105",1325363
"106",44818489
"107",19044394
"108",40241937
"109",43014237
"110",19046625
"111",37497691
"112",1387104
"113",42801287
"114",35605804
"115",42629079
"116",1336825
"117",19026972
"118",35605744
"119",42873638
"120",45892579
"121",37499576
"122",1314865
"123",1145484
"124",19025348
"125",37002368
"126",1359548
"127",36879010
"128",1145752
"129",1145791
"130",19011440
"131",35602760
"132",1337620
"133",43526080
"134",1311409
"135",1389888
"136",1363387
"137",40238052
"138",19008336
"139",1378509
"140",40238188
"141",19137385
"142",37498602
"143",19136750
"144",1145571
"145",792764
"146",44507676
"147",42799711
"148",1145637
"149",37498969
"150",37002419
"151",1750928
"152",1358436
"153",1146139
"154",43012292
"155",45892628
"156",903643
"157",19078097
"158",21017157
"159",43533090
"160",984232
"161",46221699
"162",1348265
"163",45892075
"164",1396729
"165",792993
"166",42709322
"167",1304044
"168",1396423
"169",1361614
"170",37496447
"171",19054825
"172",1355795
"173",19024728
"174",19017810
"175",1333379
"176",35197850
"177",19054821
"178",40241969
"179",45892531
"180",43013182
"181",1394023
"182",42900401
"183",44506771
"184",1593273
"185",1511250
"186",36878852
"187",1356361
"188",793846
"189",1366310
"190",40230712
"191",35201068
"192",1315946
"193",1398399
"194",1342346
"195",792649
"196",1503057
"197",1390051
"198",1525866
"199",1548195
"200",1555887
"201",19020079
"202",19092845
"203",42903460
"204",40167582
"205",45776944
"206",35200763
"207",35604205
"208",40244266
"209",19132294
"210",1389464
"211",45776670
"212",40166461
"213",19051642
"214",35200202
"215",40168385
"216",46275491
"217",42709321
"218",35200783
"219",36879099
"220",46221435
"221",794068
"222",19015423
"223",1394337
"224",35884400
"225",1714165
"226",1341149
"227",792499
"228",43008996
"229",40167554
"230",1336539
"231",35200995
"232",19136210
"233",35606631
"234",1511449
"235",1510328
"236",35606214
"237",1309770
"238",1797155
"239",42903942
"240",19038536
"241",1760616
"242",35604032
"243",1355705
"244",1522957
"245",1503501
"246",44816340
"247",1319193
"248",35606215
"249",35198201
"250",1594187
"251",40242675
"252",35201733
"253",35200803
"254",1338558
"255",1368823
"256",1718850
"257",1593861
"258",35603017
"259",19042545
"260",1380191
"261",35884379
"262",1349025
"263",19058410
"264",40222431
"265",40224095
"266",19132890
"267",40798893
"268",1718346
"269",19002912
"270",45775540
"271",35604657
"272",44818466
"273",35605522
"274",19031224
"275",19006880
"276",45775576
"277",19057483
"278",43009098
"279",36030242
"280",1355509
"281",1146178
"282",1594003
"283",1355513
"284",1560123
"285",793797
"286",19135793
"287",1309161
"288",37002369
"289",36029858
"290",792737
"291",19093366
"292",739856
"293",37499520
"294",37002765
"295",44506774
"296",1592911
"297",794044
"298",35198219
"299",35884401
"300",37498468
"301",739531
"302",1536935
"303",739518
"304",1536789
"305",36026868
"306",1536834
"307",739739
"308",739804
"309",740067
"310",739471
"311",1361191
"312",1536975
"313",1536963
"314",36026750
