concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
		"ICDO3"		"X"	"8728/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8728/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8730/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8102/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8110/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8215/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8220/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8220/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8221/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8221/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8230/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8230/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8231/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8240/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8240/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8241/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8242/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8242/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8243/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8330/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8331/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8332/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8333/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8333/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8334/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8335/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8336/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8337/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8340/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8341/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8342/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8343/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8265/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8480/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9815/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8163/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9751/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9975/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9811/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9053/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9054/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9055/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9055/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9060/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9061/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9062/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9063/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9064/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9186/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9187/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9191/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9192/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9193/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9194/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9195/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9200/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9200/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9210/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9210/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9220/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9220/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9220/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9221/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9221/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9230/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9230/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9231/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9240/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9241/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9242/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9243/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9250/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9250/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9251/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9251/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9252/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9252/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9260/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9261/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9262/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9500/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9501/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9501/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9502/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9502/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9503/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9504/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9505/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9505/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9506/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9507/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9508/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9510/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9510/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9511/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9512/3"	"2015-09-18"		"X"
