concept_code	concept_name	relationship_id	snomed_code	precedence
"8841/0"	"Angiomyxoma, NOS"	"Maps to"	"57723004"	
"8000/2"	"Neoplasm, in situ"	"Maps to"	"127569003"	
"C34.2"	"Middle lobe, lung"	"Maps to"	"72481006"	
"C49.9"	"Connective, subcutaneous and other soft tissues, NOS"	"Maps to"	"-1"	
"9521/3"	"Olfactory neurocytoma"	"Maps to"	"46710009"	
"C47.4"	"Peripheral nerves and autonomic nervous system of abdomen"	"Maps to"	"819000006"	
"C48.8"	"Overlapping lesion of retroperitoneum and peritoneum"	"Is a"	"818983003"	
"C49.4"	"Connective, subcutaneous and other soft tissues of abdomen"	"Maps to"	"818997006"	
"8070/3"	"Squamous cell carcinoma, NOS"	"Maps to"	"28899001"	"1"
"8070/3"	"Squamous cell carcinoma, NOS"	"Maps to"	"400155002"	"2"
"8004/0"	"tumor, spindle cell type, benign"	"Is a"	"3898006"	
"9823/3"	"B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma"	"Maps to"	"51092000"	"1"
"9811/3"	"B lymphoblastic leukemia/lymphoma, NOS"	"Maps to"	"450949002"	"1"
"9890/3"	"Monocytic leukemia, NOS (ICD-O-2)"	"Maps to"	"128934006"	"2"
"8249/6"	"Atypical carcinoid tumor, metastatic from other site"	"Is a"	"128658008"	
"9650/3"	"Hodgkin lymphoma, NOS"	"Maps to"	"762691001"	"1"
"9180/3"	"Osteosarcoma, NOS"	"Maps to"	"83612000"	"2"
"9751/1"	"Langerhans cell granulomatosis"	"Maps to"	"409707002"	"2"
"9861/3"	"Acute myeloid leukemia, NOS"	"Maps to"	"17788007"	"1"
"8011/2"	"Epithelioma, in situ"	"Is a"	"71298006"	
"8011/2"	"Epithelioma, in situ"	"Is a"	"127569003"	
"8070/2"	"Squamous cell carcinoma in situ, NOS"	"Maps to"	"252989001"	"2"
"8012/2"	"Large cell carcinoma, in situ "	"Is a"	"22687000"	
"8012/2"	"Large cell carcinoma, in situ "	"Is a"	"127569003"	
"8720/0"	"Pigmented nevus, NOS"	"Maps to"	"400101001"	"2"
"9860/3"	"Myeloid leukemia, NOS"	"Maps to"	"128934006"	"2"
"9820/3"	"Lymphoid leukemia, NOS"	"Maps to"	"32280000"	"1"
"9800/3"	"Leukemia, NOS"	"Maps to"	"128931003"	"2"
"9440/3"	"Glioblastoma, NOS"	"Maps to"	"63634009"	"1"
"9863/3"	"Chronic myeloid leukemia, NOS"	"Maps to"	"63364005"	"1"
"8022/2"	"Pleomorphic carcinoma in situ"	"Is a"	"16741004"	
"8022/2"	"Pleomorphic carcinoma in situ"	"Is a"	"127569003"	
"9591/3"	"Malignant lymphoma, non-Hodgkin, NOS"	"Maps to"	"128929007"	"2"
"8023/3"	"Nuclear protein in testis (NUT)-associated carcinoma"	"Maps to"	"733922002"	
"8030/2"	"Giant cell and spindle cell carcinoma in situ"	"Is a"	"72969003"	
"8030/2"	"Giant cell and spindle cell carcinoma in situ"	"Is a"	"127569003"	
"9563/0"	"Nerve sheath tumor, NOS"	"Maps to"	"703709003"	"1"
"8031/2"	"Giant cell carcinoma in situ"	"Is a"	"42596004"	
"8031/2"	"Giant cell carcinoma in situ"	"Is a"	"127569003"	
"9814/3"	"B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)"	"Maps to"	"450952005"	
"8032/2"	"Spindle cell carcinoma in situ"	"Is a"	"65692009"	
"8032/2"	"Spindle cell carcinoma in situ"	"Is a"	"127569003"	
"8013/3"	"Large cell neuroendocrine carcinoma"	"Maps to"	"128628002"	
"8033/2"	"Pseudosarcomatous carcinoma, in situ"	"Is a"	"23109009"	
"8033/2"	"Pseudosarcomatous carcinoma, in situ"	"Is a"	"127569003"	
"8852/3"	"Myxoid liposarcoma"	"Maps to"	"27849002"	
"8014/3"	"Large cell carcinoma with rhabdoid phenotype"	"Maps to"	"128629005"	
"9160/0"	"Angiofibroma, NOS"	"Maps to"	"60392001"	
"8631/0"	"Sertoli-Leydig cell tumor, well differentiated"	"Maps to"	"34110004"	
"9412/1"	"Desmoplastic infantile astrocytoma"	"Maps to"	"128787000"	
"8040/3"	"Tumorlet, malignant"	"Is a"	"72938002"	
"8041/2"	"Small cell carcinoma, in situ"	"Is a"	"74364000"	
"8041/2"	"Small cell carcinoma, in situ"	"Is a"	"127569003"	
"9243/3"	"Dedifferentiated chondrosarcoma"	"Maps to"	"128776008"	
"8041/6"	"Small cell carcinoma, metastatic site"	"Is a"	"74364000"	
"8042/2"	"Oat cell carcinoma in situ (C34._)"	"Is a"	"76817009"	
"8042/2"	"Oat cell carcinoma in situ (C34._)"	"Is a"	"127569003"	
"9250/1"	"Giant cell tumor of bone, NOS"	"Maps to"	"57500000"	
"8076/2"	"Squamous cell carcinoma in situ with questionable stromal invasion"	"Maps to"	"5688000"	
"8471/0"	"Papillary mucinous cystadenoma, NOS"	"Maps to"	"36721002"	
"9431/1"	"Angiocentric glioma"	"Maps to"	"450900009"	
"8046/2"	"Non-small cell carcinoma in situ (C34._)"	"Is a"	"128632008"	
"8046/2"	"Non-small cell carcinoma in situ (C34._)"	"Is a"	"127569003"	
"9750/3"	"Malignant histiocytosis"	"Maps to"	"128920006"	
"8896/0"	"Myxoid leiomyoma"	"Maps to"	"703635008"	
"8050/1"	"Papilloma of uncertain malignant potential"	"Is a"	"23730008"	
"8630/1"	"Androblastoma, NOS"	"Maps to"	"62283005"	
"8050/3"	"Papillary carcinoma, NOS"	"Maps to"	"25910003"	
"8317/3"	"Renal cell carcinoma, chromophobe type"	"Maps to"	"128667008"	
"8051/2"	"Verrucous carcinoma in situ"	"Is a"	"89906000"	
"8051/2"	"Verrucous carcinoma in situ"	"Is a"	"127569003"	
"9865/3"	"Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214"	"Maps to"	"450928003"	
"8053/3"	"Squamous cell papilloma, inverted, malignant"	"Is a"	"90121000"	
"8054/0"	"Warty dyskeratoma"	"Maps to"	"22524002"	
"8054/3"	"Warty carcinoma"	"Maps to"	"399408005"	
"8010/3"	"Carcinoma, NOS"	"Maps to"	"68453008"	"2"
"8060/3"	"Squamous papillomatosis, malignant"	"Is a"	"82049002"	
"8070/0"	"Actinic keratosis"	"Maps to"	"856006"	
"8010/3"	"Carcinoma, NOS"	"Maps to"	"399879007"	"1"
"C42.3"	"Reticuloendothelial system,NOS"	"Maps to"	"127908000"	
"8070/9"	"Squamous cell carcinoma,uncertain whether primary or metastatic site"	"Maps to"	"28899001"	
"8071/2"	"Squamous cell carcinoma in situ, keratinizing, NOS"	"Is a"	"18048008"	
"8071/2"	"Squamous cell carcinoma in situ, keratinizing, NOS"	"Is a"	"127569003"	
"8072/0"	"Large cell acanthoma"	"Maps to"	"733894009"	
"8072/2"	"Squamous cell carcinoma, large cell, nonkeratinizing, in situ "	"Is a"	"45490001"	
"8072/2"	"Squamous cell carcinoma, large cell, nonkeratinizing, in situ "	"Is a"	"127569003"	
"8010/2"	"Carcinoma in situ, NOS"	"Maps to"	"399919001"	"2"
"9391/1"	"Ependymoma,uncertain behaviour"	"Is a"	"57706008"	
"8810/0"	"Fibroma, NOS"	"Maps to"	"112682009"	"1"
"9080/3"	"Teratoma, malignant, NOS"	"Maps to"	"19467007"	"1"
"8121/0"	"Schneiderian papilloma, NOS"	"Maps to"	"44342003"	
"8073/2"	"Squamous cell carcinoma, small cell, nonkeratinizing, in situ"	"Is a"	"35718007"	
"8073/2"	"Squamous cell carcinoma, small cell, nonkeratinizing, in situ"	"Is a"	"127569003"	
"9442/1"	"Gliofibroma"	"Maps to"	"128909006"	
"8074/2"	"Squamous cell carcinoma, spindle cell, in situ"	"Is a"	"10288008"	
"8074/2"	"Squamous cell carcinoma, spindle cell, in situ"	"Is a"	"127569003"	
"8898/1"	"Metastasizing leiomyoma"	"Maps to"	"128747005"	
"8075/2"	"Squamous cell carcinoma, adenoid, in situ"	"Is a"	"85956000"	
"8075/2"	"Squamous cell carcinoma, adenoid, in situ"	"Is a"	"127569003"	
"8075/3"	"Squamous cell carcinoma, adenoid"	"Maps to"	"85956000"	
"8163/3"	"Pancreatobiliary-type carcinoma"	"Maps to"	"450894009"	
"8261/3"	"Adenocarcinoma in villous adenoma"	"Maps to"	"36087009"	
"9510/3"	"Retinoblastoma, NOS"	"Maps to"	"19906005"	
"9911/3"	"Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1"	"Maps to"	"450937003"	
"8077/3"	"Squamous cell carcinoma, grade III (C53._)"	"Is a"	"82049002"	
"8155/3"	"Vipoma, malignant"	"Maps to"	"31131002"	
"8857/0"	"Spindle cell lipoma"	"Maps to"	"27313007"	
"8080/3"	"Queyrat erythroplasia, malignant (C60._) "	"Is a"	"18348002"	
"8508/3"	"Cystic hypersecretory carcinoma"	"Maps to"	"128697000"	
"8081/3"	"Bowen's disease, malignant (C44._)"	"Is a"	"84999002"	
"8082/2"	"Lymphoepithelial carcinoma in situ"	"Is a"	"7300000"	
"8082/2"	"Lymphoepithelial carcinoma in situ"	"Is a"	"127569003"	
"8015/3"	"Glassy cell carcinoma"	"Maps to"	"128630000"	
"8083/2"	"Basaloid squamous cell carcinoma in situ"	"Is a"	"128634009"	
"8083/2"	"Basaloid squamous cell carcinoma in situ"	"Is a"	"127569003"	
"8710/3"	"Glomangiosarcoma"	"Maps to"	"13875003"	
"8084/0"	"Clear cell acanthoma"	"Maps to"	"65540008"	
"8813/1"	"Palmar/plantar type fibromatosis"	"Maps to"	"703611003"	
"8085/3"	"Squamous cell carcinoma, HPV positive"	"Maps to"	"783212001"	
"8086/3"	"Squamous cell carcinoma, HPV negative"	"Maps to"	"783213006"	
"8813/3"	"Fascial fibrosarcoma"	"Maps to"	"19134004"	
"8090/2"	"Basal cell carcinoma in situ"	"Maps to"	"718396005"	
"8850/0"	"Lipoma, NOS"	"Maps to"	"134328007"	
"8091/2"	"Multicentric basal cell carcinoma, in situ (C44._)"	"Is a"	"61098004"	
"8091/2"	"Multicentric basal cell carcinoma, in situ (C44._)"	"Is a"	"127569003"	
"8857/3"	"Fibroblastic liposarcoma"	"Maps to"	"128883006"	
"8750/0"	"Intradermal nevus"	"Maps to"	"112681002"	
"9260/3"	"Ewing sarcoma"	"Maps to"	"76909002"	
"8094/2"	"Basosquamous carcinoma in situ (C44._)"	"Is a"	"37304002"	
"8094/2"	"Basosquamous carcinoma in situ (C44._)"	"Is a"	"127569003"	
"8840/3"	"Myxosarcoma"	"Maps to"	"28351005"	
"8773/3"	"Spindle cell melanoma, type A"	"Maps to"	"24653009"	
"8201/2"	"Cribriform carcinoma in situ"	"Maps to"	"128879006"	
