concept_code_1	concept_code_2	vocabulary_id_1	vocabulary_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
"8852/3-C49.9"	"404069006"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8854/3-C49.9"	"404071006"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8858/3-C49.9"	"404072004"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9150/1-C72.9"	"277522009"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9174/1-C34.9"	"277844007"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9679/3-C42.4"	"444910004"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9680/3-C42.4"	"109969005"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9714/3-C42.4"	"702785000"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9741/3-C42.4"	"397016004"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9761/3-C42.4"	"190818004"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9834/3-C42.4"	"277567002"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9999/9-C18.9"	"NULL-C18.9"	"ICDO3"	"ICDO3"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9999/9-C34.1"	"NULL-C34.1"	"ICDO3"	"ICDO3"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9999/9-C34.9"	"NULL-C34.9"	"ICDO3"	"ICDO3"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9999/9-C42.1"	"NULL-C42.1"	"ICDO3"	"ICDO3"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9999/9-C50.9"	"NULL-C50.9"	"ICDO3"	"ICDO3"	"Maps to"	"1970-01-01"	"2099-12-31"	
"9999/9-C80.9"	"NULL-C80.9"	"ICDO3"	"ICDO3"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8012/3-C34.9"	"254629004"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8031/3-C34.9"	"254631008"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8070/3-C61.9"	"399590005"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8140/3-C16.9"	"408647009"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8140/3-C15.9"	"276803003"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8140/3-C53.9"	"254887002"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
"8140/3-C61.9"	"399490008"	"ICDO3"	"SNOMED"	"Maps to"	"1970-01-01"	"2099-12-31"	
