concept_id,value_as_number,unit_concept_id,operator_concept_id
35942401,1,32666,4171755
35942401,99997,32666,4171754
35942198,1,32666,4171755
35942198,999997,32666,4171754
35942427,1,32666,4171755
35942427,99997,32666,4171754
35942546,1,32666,4171755
35942546,999997,32666,4171754
35942335,1,32666,4171755
35942335,99997,32666,4171754
35942313,1,32666,4171755
35942313,999997,32666,4171754
35941298,4,,4171755
35942409,1,32666,4171755
35942409,999997,32666,4171754
35942076,0,8554,4171755
35942076,100,8554,4171754
35919180,0,8842,4172703
35942407,0.1,8842,4171755
35942407,99999.9,8842,4171754
35919173,100000,8842,4171755
35919725,1000,8842,4171756
35919476,1000,8842,4171755
35919476,10000,8842,4171754
35919441,10000,8842,4172704
35919643,0,8842,4172703
35942101,0.1,8842,4171755
35942101,99999.9,8842,4171754
35919114,100000,8842,4171755
35919238,1000,8842,4171756
35919225,1000,8842,4171755
35919225,10000,8842,4171754
35919808,10000,8842,4172704
35919790,0,8842,4172703
35942351,0.1,8842,4171755
35942351,9999.9,8842,4171754
35919122,10000,8842,4171755
35942419,0.1,8840,4171755
35942419,999.9,8840,4171754
35919743,1000,8840,4171755
35919038,0,,4171755
35919038,0.1,,4171754
35942090,0.2,8588,4171755
35942090,99.9,8588,4171754
35919701,0.1,,4171755
35919701,9.9,,4171754
35919466,9.9,8588,4172704
35919653,100,8588,4172704
35942110,0.1,8842,4171755
35942110,9999.9,8842,4171754
35919248,10000,8842,4171755
35919719,1,8588,4171756
35942209,0.1,8588,4171755
35942209,99.9,8588,4171754
35919722,100,8588,4171755
35919022,1,8588,4171755
35919880,2,8588,4171755
35919818,3,8588,4171755
35919379,3,8588,4172704
35942498,0.1,8840,4171755
35942498,99.9,8840,4171754
35919405,100,8840,4171755
35919519,1,8554,4171756
35942185,1,8554,4171755
35942185,100,8554,4171754
35919604,1,8554,4171755
35919604,10,8554,4171754
35919672,11,8554,4171755
35919672,20,8554,4171754
35919189,21,8554,4171755
35919189,30,8554,4171754
35919814,31,8554,4171755
35919814,40,8554,4171754
35919489,41,8554,4171755
35919489,50,8554,4171754
35919062,51,8554,4171755
35919062,60,8554,4171754
35919472,61,8554,4171755
35919472,70,8554,4171754
35919500,71,8554,4171755
35919500,80,8554,4171754
35919168,81,8554,4171755
35919168,90,8554,4171754
35919025,91,8554,4171755
35919025,100,8554,4171754
35942238,0.1,8588,4171755
35942238,9.9,8588,4171754
35942495,0,44777566,4171755
35942495,25,44777566,4171754
35919905,0,8719,4172703
35942097,0.1,8719,4171755
35942097,99999.9,8719,4171754
35919797,100000,8719,4171755
35919914,5000,8719,4171756
35919172,5000,8719,4171755
35919172,50000,8719,4171754
35919224,50000,8719,4172704
35919426,0,8719,4172703
35942434,0.1,8719,4171755
35942434,99999.9,8719,4171754
35919499,100000,8719,4171755
35919440,5000,8719,4171756
35919410,5000,8719,4171755
35919410,50000,8719,4171754
35919791,50000,8719,4172704
35942291,0,8523,4171755
35942291,99.9,8523,4171754
35919484,0.1,,4171756
35942367,0.2,8523,4171755
35942367,9.9,8523,4171754
35919099,10,,4171755
35942479,0,8554,4171755
35942479,100,8554,4171754
35919019,1.5,,4171756
35919240,10,,4172704
35919319,1.5,,4171756
35919483,10,,4172704
35942394,1,,4171755
35942394,999,,4171754
35942263,0.1,8588,4171755
35942263,99.9,8588,4171754
35919106,100,8588,4171755
35919487,1,8582,4171756
35919301,2,8582,4171755
35919352,3,8582,4171755
35919848,4,8582,4171755
35919076,5,8582,4172704
35942343,0.1,8588,4171755
35942343,99.9,8588,4171754
35919374,100,8588,4172704
35919471,3,8588,4171756
35919133,3,8588,4171755
35919740,6,8588,4171755
35919148,9,8588,4171755
35919146,12,8588,4171755
35919169,15,8588,4171755
35919309,18,8588,4171755
35942245,0.1,8588,4171755
35942245,99.9,8588,4171754
35919320,100,8588,4172704
35919080,3,8588,4171756
35919898,3,8588,4171755
35919698,6,8588,4171755
35919681,9,8588,4171755
35919687,12,8588,4171755
35919241,15,8588,4172704
35942107,1,8588,4171755
35942107,99,8588,4171754
35942086,0.1,32661,4171755
35942086,99.9,32661,4171754
35919394,100,32661,4171755
35919863,0,32667,4172703
35942418,1,32667,4171755
35942418,99,32667,4171754
35919456,100,32667,4171755
35919893,1,32667,4171756
35919397,1,32667,4171755
35942540,0,44777566,4171755
35942540,99,44777566,4171754
35942504,0,9384,4171755
35942504,8,9384,4171754
35919859,2,9384,4171755
35919859,3,9384,4171754
35919428,4,9384,4171755
35919428,5,9384,4171754
35919261,6,9384,4171755
35919261,8,9384,4171754
35919063,100,,4171755
35919883,100,,4171755
35919437,100,,4171755
