concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
36769498,36769498,Maps to,8/28/2023,12/31/2099,
36769950,36769950,Maps to,8/28/2023,12/31/2099,
36770080,36770080,Maps to,8/28/2023,12/31/2099,
35225535,36769498,Maps to,8/28/2023,12/31/2099,
35225536,36769950,Maps to,8/28/2023,12/31/2099,
35225537,36770080,Maps to,8/28/2023,12/31/2099,
36769498,36769498,Mapped from,8/28/2023,12/31/2099,
36769950,36769950,Mapped from,8/28/2023,12/31/2099,
36770080,36770080,Mapped from,8/28/2023,12/31/2099,
36769498,35225535,Mapped from,8/28/2023,12/31/2099,
36769950,35225536,Mapped from,8/28/2023,12/31/2099,
36770080,35225537,Mapped from,8/28/2023,12/31/2099,
36769498,1634371,Is a,8/28/2023,12/31/2099,
36769950,1634752,Is a,8/28/2023,12/31/2099,
36770080,1633749,Is a,8/28/2023,12/31/2099,
1634371,36769498,Subsumes,8/28/2023,12/31/2099,
1634752,36769950,Subsumes,8/28/2023,12/31/2099,
1633749,36770080,Subsumes,8/28/2023,12/31/2099,
36769498,1634371,Concept replaced by,8/28/2023,12/31/2099,D
36769498,1634371,Maps to,8/28/2023,12/31/2099,D
1634371,36769498,Concept replaces,8/28/2023,12/31/2099,D
1634371,36769498,Mapped from,8/28/2023,12/31/2099,D
36769950,1634752,Concept replaced by,8/28/2023,12/31/2099,D
36769950,1634752,Maps to,8/28/2023,12/31/2099,D
1634752,36769950,Concept replaces,8/28/2023,12/31/2099,D
1634752,36769950,Mapped from,8/28/2023,12/31/2099,D
36770080,1633749,Concept replaced by,8/28/2023,12/31/2099,D
36770080,1633749,Maps to,8/28/2023,12/31/2099,D
1633749,36770080,Concept replaces,8/28/2023,12/31/2099,D
1633749,36770080,Mapped from,8/28/2023,12/31/2099,D
35225535,1634371,Concept replaced by,8/28/2023,12/31/2099,D
35225535,1634371,Maps to,8/28/2023,12/31/2099,D
1634371,35225535,Concept replaces,8/28/2023,12/31/2099,D
1634371,35225535,Mapped from,8/28/2023,12/31/2099,D
35225536,1634752,Concept replaced by,8/28/2023,12/31/2099,D
35225536,1634752,Maps to,8/28/2023,12/31/2099,D
1634752,35225536,Concept replaces,8/28/2023,12/31/2099,D
1634752,35225536,Mapped from,8/28/2023,12/31/2099,D
35225537,1633749,Concept replaced by,8/28/2023,12/31/2099,D
35225537,1633749,Maps to,8/28/2023,12/31/2099,D
1633749,35225537,Concept replaces,8/28/2023,12/31/2099,D
1633749,35225537,Mapped from,8/28/2023,12/31/2099,D
36769498,35225535,Concept replaces,8/28/2023,12/31/2099,
36769950,35225536,Concept replaces,8/28/2023,12/31/2099,
36770080,35225537,Concept replaces,8/28/2023,12/31/2099,
35225535,36769498,Concept replaced by,8/28/2023,12/31/2099,
35225536,36769950,Concept replaced by,8/28/2023,12/31/2099,
35225537,36770080,Concept replaced by,8/28/2023,12/31/2099,
45876316,1634960,Maps to,8/15/2023,12/31/2099,
45880108,1635232,Maps to,8/15/2023,12/31/2099,
45884285,1634789,Maps to,8/15/2023,12/31/2099,
46237084,1635428,Maps to,8/15/2023,12/31/2099,
45878382,1633859,Maps to,8/15/2023,12/31/2099,
45880980,1634252,Maps to,8/15/2023,12/31/2099,
45880986,1633373,Maps to,8/15/2023,12/31/2099,
45881605,1635865,Maps to,8/15/2023,12/31/2099,
45878395,1633356,Maps to,8/15/2023,12/31/2099,
45878652,1633591,Maps to,8/15/2023,12/31/2099,
45880979,1633702,Maps to,8/15/2023,12/31/2099,
45882494,1635454,Maps to,8/15/2023,12/31/2099,
45882496,1634955,Maps to,8/15/2023,12/31/2099,
46237085,1634124,Maps to,8/15/2023,12/31/2099,
45878383,1633891,Maps to,8/15/2023,12/31/2099,
45880109,1634688,Maps to,8/15/2023,12/31/2099,
45880978,1633519,Maps to,8/15/2023,12/31/2099,
46237998,1635363,Maps to,8/15/2023,12/31/2099,
45881606,1633717,Maps to,8/15/2023,12/31/2099,
45881608,1635372,Maps to,8/15/2023,12/31/2099,
45884283,1634629,Maps to,8/15/2023,12/31/2099,
45884284,1633542,Maps to,8/15/2023,12/31/2099,
46237079,1635175,Maps to,8/15/2023,12/31/2099,
46237488,1633718,Maps to,8/15/2023,12/31/2099,
45876314,1635567,Maps to,8/15/2023,12/31/2099,
45882495,1634719,Maps to,8/15/2023,12/31/2099,
45876315,1633577,Maps to,8/15/2023,12/31/2099,
45876317,1633869,Maps to,8/15/2023,12/31/2099,
46237997,1633296,Maps to,8/15/2023,12/31/2099,
46238004,1633961,Maps to,8/15/2023,12/31/2099,
45878643,1635566,Maps to,8/15/2023,12/31/2099,
45881607,1635882,Maps to,8/15/2023,12/31/2099,
45882497,1633813,Maps to,8/15/2023,12/31/2099,
46237073,1633568,Maps to,8/15/2023,12/31/2099,
45876316,1635486,Maps to,8/15/2023,12/31/2099,
45880108,1635450,Maps to,8/15/2023,12/31/2099,
45884285,1635764,Maps to,8/15/2023,12/31/2099,
46237084,1634917,Maps to,8/15/2023,12/31/2099,
46237479,1635253,Maps to,8/15/2023,12/31/2099,
45878382,1635056,Maps to,8/15/2023,12/31/2099,
45880113,1633396,Maps to,8/15/2023,12/31/2099,
45880980,1635199,Maps to,8/15/2023,12/31/2099,
45881605,1635434,Maps to,8/15/2023,12/31/2099,
45881619,1634674,Maps to,8/15/2023,12/31/2099,
45878387,1633921,Maps to,8/15/2023,12/31/2099,
45878651,1635594,Maps to,8/15/2023,12/31/2099,
45878652,1634813,Maps to,8/15/2023,12/31/2099,
45880979,1633841,Maps to,8/15/2023,12/31/2099,
45882496,1633707,Maps to,8/15/2023,12/31/2099,
46237068,1634350,Maps to,8/15/2023,12/31/2099,
45878383,1634671,Maps to,8/15/2023,12/31/2099,
