mapping notes,item_number,section,naaccr_variable_code,naaccr_variable_name,Cancer Modifier Mapping,Map Measurement? (assumes Value) ,Maps To,new_concept,Athena URL,Already Done/,naaccr_variable_domain,concept_class_id,naaccr_variable_standard_concept,naaccr_item_start_date,naaccr_item_end_date,naaccr_item_400_parent,naaccr_item_522_parent,naaccr_variable_date,naaccr_variable_parent,naaccr_value_code,naaccr_value_name,naaccr_variable_domain-2,concept_class_id-2,naaccr_value_standard_concept
,440,Cancer Identification,440,Grade,Cancer Modifier: Grade?,,1634371,,https://athena.ohdsi.org/search-terms/terms/1634371,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,440@1,Grade I,Meas Value,NAACCR Value,S
,440,Cancer Identification,440,Grade,Cancer Modifier: Grade?,,1634752,,https://athena.ohdsi.org/search-terms/terms/1634752,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,440@2,Grade II,Meas Value,NAACCR Value,S
,440,Cancer Identification,440,Grade,Cancer Modifier: Grade?,,1633749,,https://athena.ohdsi.org/search-terms/terms/1633749,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,440@3,Grade III,Meas Value,NAACCR Value,S
,440,Cancer Identification,440,Grade,Cancer Modifier: Grade?,,1635792,,https://athena.ohdsi.org/search-terms/terms/1635792,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,440@4,Grade IV,Meas Value,NAACCR Value,S
,440,Cancer Identification,440,Grade,Cancer Modifier: Grade?,,?,,?,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,440@5,T-Cell,Meas Value,NAACCR Value,S
,440,Cancer Identification,440,Grade,Cancer Modifier: Grade?,,?,,?,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,440@6,B-Cell,Meas Value,NAACCR Value,S
,440,Cancer Identification,440,Grade,Cancer Modifier: Grade?,,?,,?,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,440@7, cell,Meas Value,NAACCR Value,S
,440,Cancer Identification,440,Grade,Cancer Modifier: Grade?,,?,,?,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,440@8,NK (natural killer) cell,Meas Value,NAACCR Value,S
,440,Cancer Identification,440,Grade,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,440@9,"Grade/differentiation unknown, not stated, or not applicable",Meas Value,NAACCR Value,S
,441,Cancer Identification,441,Grade Path Value,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,441@1,Recorded as Grade I or 1,Meas Value,NAACCR Value,S
,441,Cancer Identification,441,Grade Path Value,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,441@2,Recorded as Grade II or 2,Meas Value,NAACCR Value,S
,441,Cancer Identification,441,Grade Path Value,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,441@3,Recorded as Grade III or 3,Meas Value,NAACCR Value,S
,441,Cancer Identification,441,Grade Path Value,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,441@4,Recorded as Grade IV or 4,Meas Value,NAACCR Value,S
,449,Cancer Identification,449,Grade Path System,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,449@2,Two-Grade System,Meas Value,NAACCR Value,S
,449,Cancer Identification,449,Grade Path System,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,449@3,Three-Grade System,Meas Value,NAACCR Value,S
,449,Cancer Identification,449,Grade Path System,Cancer Modifier: Grade?,,0,,https://athena.ohdsi.org/search-terms/terms/0,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,449@4,Four-Grade System,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,1635581,,https://athena.ohdsi.org/search-terms/terms/1635581,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@030,Score of 3,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,1634628,,https://athena.ohdsi.org/search-terms/terms/1634628,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@040,Score of 4,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,1635808,,https://athena.ohdsi.org/search-terms/terms/1635808,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@050,Score of 5,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,1634634,,https://athena.ohdsi.org/search-terms/terms/1634634,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@060,Score of 6,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,1633603,,https://athena.ohdsi.org/search-terms/terms/1633603,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@070,Score of 7,Meas Value,NAACCR Value,S
,2861,Stage/Prognostic Factors,breast@2861,Nottingham or Bloom-Richardson (BR) Score/Grade,Cancer Modifier: Grade?,,1635278,,https://athena.ohdsi.org/search-terms/terms/1635278,,Measurement,NAACCR Variable,S,390:Date of Diagnosis,,400:Primary Site,522:Histology,,,breast@2861@080,Score of 8,Meas Value,NAACCR Value,S
